Address,Total Tokens,Total Return,Good Trades,Bad Trades,Winning%,Unrealized Profits
0x75f52ebf19407e3454bf5bd63b1987aee8b27c03,0,0,0,0,0,0
0xdeb0d084729fe02f487db54e3e8ec843c12a8529,0,0,0,0,0,0
0x77c9fdd5389652ca9160b82f7df6098e4a032c46,0,0,0,0,0,0
0x132db8234171cc9d8a65853cf03d5c0f46c8867e,2,0,0,0,0,0
0xf28e42bb07e8a24d15d4f8f6d703e672a80dbc90,0,0,0,0,0,0
0xb2a2a6a69e7a0ad66943f4c2869d45a9919cf740,3,-7.722465811,0,1,0,0.480038621
0xffc041b1c734f8bc0502a9fc0d7c35ab437c416d,9,0,0,0,0,-16574.81449
0x7d112b3216455499f848ad9371df0667a0d87eb6,0,0,0,0,0,0
0x675938d86a6a4651b6dbba7529117fb0b557ccf2,0,0,0,0,0,0
0x610aec3851d7688c4c8aef3a6173f667e8beef73,6,0,0,0,0,278.3868849
0x82dcff3c5f3cd89eee6887ca817a92289a73b7b8,25,0,0,0,0,-183860.659
0x000001f568875f378bf6d170b790967fe429c81a,0,0,0,0,0,0
0xe5d0ef77aed07c302634dc370537126a2cd26590,18,0,0,0,0,52973.96862
0xfa8bcd6b7881fe357d1b862da095007007f2648a,34,402764.9375,3,4,0.428571429,-845731.8758
0xfacf46ea1e0ad2681103e726f64cfc503e9da5d6,9,0,0,0,0,-1073005.819
0xb50c6b3b12fabd530ed401746feffe3f09fa2dcb,0,0,0,0,0,0
0xab4f788186ac4da5f6e78d6ba23cdd95881009c5,0,0,0,0,0,0
0x68024d7f576b8c67f68cc23cd261c7725d37b598,9,-0.461495539,1,1,0.5,1.003048932
0x0e52b9228f901b393c182a5c30f2a10db2ae247b,6,-18.75706391,0,2,0,14.96742477
0x72912b60718983a7aa9f44451cf0cfa13d85aa58,1,0,0,0,0,2.131596324
0x4f2f9450a9015432f8ffd36219e88348e8555165,0,0,0,0,0,0
0x86af41182e08eb9f8bef914b833bbfaf5af56597,0,0,0,0,0,0
0x3a8713065e4daa9603b91ef35d6a8336ef7b26c6,39,7.198517814,3,1,0.75,-2395.943847
0x71e7b94490837ccaf45f9f6c7c20a3e17bbeb7d3,3,0,0,0,0,-133796.0407
0x38740516f691a66b4c1cd9156e9434c7915e73b3,3,0,0,0,0,21.01389596
0x9fd50776f133751e8ae6abe1be124638bb917e05,82,1477374.195,5,5,0.5,-13159.60469
0xc480fb0ebea2591470f571436926785be5ebcd22,0,0,0,0,0,0
0xb8ae72b55cff707e117c95303e8eb5a0f0471d4a,9,0,0,0,0,-13835.3142
0x6d16749cefb3892a101631279a8fe7369a281d0e,25,0,0,0,0,-128815.5795
0x84d34f4f83a87596cd3fb6887cff8f17bf5a7b83,30,0,0,0,0,-1226504.925
0x975d2dd35726e1f4e6af7e22880c49ffeda67339,0,0,0,0,0,0
0xc0549087333b7972088f3aef2b07eacbe0834b44,0,0,0,0,0,0
0x6ebbe71a30a9aec065de30f4789c7e98f0843cd2,0,0,0,0,0,0
0xbafae6afa1f7b0001860f627354130c859031b76,18,-9038.009518,1,1,0.5,-5932.433639
0xa5b0c665e95545604f0a1dd0e3ecd857a9c2d2c9,15,-1.455313702,1,2,0.333333333,-13.1120152
0xc7bfd896cc6a8bf1d09486dd08f590691b20c2ff,8,0,0,0,0,-14481.30721
0x0c7631385e22d78a04f0f6de877c23cf8a02cd2b,0,0,0,0,0,0
0xf940ce19b9cd0b9efd586381b488cefb75eb413f,19,11826.41083,4,4,0.5,742.5838491
0x881749e413f9e67998bb9a49f1e068f1129942fa,1,0,0,0,0,-73.64905008
0x1846837591fcdeff4ec8e01ef8bb76645672b153,0,0,0,0,0,0
0x9ddea6c0bfa53bdf244ade7ba5ed7e227f6e58b4,49,-19.96115243,0,1,0,-52422.99328
0x223a35433f3f87ef302fdfccd77777dd0cd51f80,74,-19.85745566,18,11,0.620689655,-16004.2379
0x9b9e7f56f05da982eeea0c0a17899d904588a98c,61,-11590.1411,2,12,0.142857143,1192.594375
0x8e4261cc19a80c1392e81944e19fb1c6d7b38441,0,0,0,0,0,0
0x3833cb60fdafb757a4342b750bda61922f8cf1af,6,-20.61557375,0,1,0,-4162.760373
0x1444aa986e20babecd2b6f3382b4b02d0e14384e,0,0,0,0,0,0
0x33debb5ee65549ffa71116957da6db17a9d8fe57,0,0,0,0,0,0
0xb38094d492af4fffff760707f36869713bfb2250,0,0,0,0,0,0
0x6a5b7fee767612186a645ebdf77ffbb5b8011f42,0,0,0,0,0,0
0xf6f1640ed4b6aba6807e84a85dda657729a28935,0,0,0,0,0,0
0x4e6b41472d13ad84f6990dfec1af282cb04705f8,4,0,0,0,0,1347.466628
0xf40addecdca67bf9e7cc145eae607a83b7349540,0,0,0,0,0,0
0xf41399aac0d78cc955108e12916204d90faff875,14,0,0,0,0,-159986.1782
0x390ef97588d684cfd9ab123cbaef7b152a1b9c0e,0,0,0,0,0,0
0xd132d1cb6cb363ce4f8a5351573cbbbf96dcf17e,0,0,0,0,0,0
0x67b849d6b7328510bd900348f8a07b83ae463bd8,1,0,0,0,0,-0.591580723
0x40e14b90e66b1d694f425579118d0dc8ef1dbc91,3,0,0,0,0,-790.7757652
0xf180efe50905a9fc66cccc91a8945805ce8d6570,20,-11209.33564,0,3,0,-55455.14645
0x825a86e83d381818141357c2e7ac494918cb3265,0,0,0,0,0,0
0xebc453e098ea5ca81e216441891c84bc4fb6e8e6,0,0,0,0,0,0
0x5d4109bfcfadb94366ae7e25b508280368dadec2,0,0,0,0,0,0
0x5181e7418b1bedfc176703741e1b8a887e65a525,0,0,0,0,0,0
0x81f47a7dd96ee101c0947d7b0e1d736c6bbe23a8,4,0,0,0,0,201.7154365
0x3b6ab0b00c32413ce401221fc06e407554292be6,0,0,0,0,0,0
0xf30f05253b242ef85514ac65dc261d01d91a8188,0,0,0,0,0,0
